team_name,short_name,seasons_played,total_matches,wins,win_pct
Gujarat Titans,GT,4,60,37,61.7
Chennai Super Kings,CSK,15,238,137,57.6
Mumbai Indians,MI,17,261,141,54.0
Kolkata Knight Riders,KKR,17,250,130,52.0
Lucknow Super Giants,LSG,4,58,30,51.7
Rajasthan Royals,RR,15,221,113,51.1
Rising Pune Supergiant,RPS,2,30,15,50.0
Royal Challengers Bangalore,RCB,17,255,127,49.8
Punjab Kings,PBKS,17,250,116,46.4
Sunrisers Hyderabad,SRH,17,255,117,45.9
Delhi Capitals,DC,17,250,114,45.6
Gujarat Lions,GL,2,30,13,43.3
Kochi Tuskers Kerala,KTK,1,14,6,42.9
Pune Warriors,PWI,3,46,13,28.3
Deccan Chargers,DC,0,1,0,0.0
Rising Pune Supergiants,RPS,0,1,0,0.0
